id,role_0,role_1,role_2,role_3
1394,12,1523,63,3
2778,96,12741,4351,209
6331,31,4384,448,17
17999,10,808,45,0
122704,93,8555,1055,3223
54460,101,9829,1786,3264
2597,302,57730,39200,6251
2911,25,3374,264,36
4790,275,42213,34501,3174
79155,29,10736,322,84
6146,264,47178,21256,13460
101929876,66,14549,303,1842
109,33,1857,518,10
27115,21,2873,206,4
1390,47,7533,988,93
84528,98,8076,4341,412
324,299,36412,43087,1464
10982,37,7921,602,64
26268,15,5250,79,26
6500,249,37715,28862,2014
3609,463,65182,88046,18907
3954,14,4589,82,9
152485,17,2882,80,56
57504,63,11056,1537,416
1537,144,12473,8076,2220
55967,86,4931,2024,1631
8452,1226,103036,719716,31209
7278,76,17432,2482,368
23392,137,20548,8791,525
5687,175,29061,12609,2616
72462,44,8421,756,190
5573,121,23318,6887,373
2355,66,6852,2025,120
29922,114,12598,5998,443
154796,131,23515,7999,516
7408,95,18116,4179,286
26039,58,8544,1534,119
6597,267,37652,32212,3299
5347,266,33636,33869,1376
3297,114,18048,5905,536
375056,36,5508,603,27
64419,6,3855,13,2
155871,312,41812,45213,3303
170575,5,692,10,0
57154,388,51090,71225,3853
3309,515,75915,122801,9554
5501,308,39658,45243,2035
3189,98,29356,3668,1085
57162,34,6611,508,53
7321,276,29039,36757,1193
6498,114,12019,6169,272
7329,500,58421,120080,4670
84281,9,813,35,1
4654,112,18581,5637,579
5879,267,27861,34520,991
23568,12,5207,64,2
4193,468,63641,103901,5377
24149,22,5274,221,10
6631,245,31875,20050,9840
9775,449,58652,76700,23876
8570,99,30563,4231,620
9757,51,8770,1161,114
155908,222,35099,21950,2581
5034,146,30087,9556,1029
8559,211,27461,13473,8682
56850,67,8636,2104,107
84445,267,25407,34627,884
253461,52,6572,1286,40
221,77,8029,2607,319
84735,30,3149,397,38
261726,42,9285,772,89
5537,61,16541,1550,280
554223,19,2726,166,5
79699,20,6456,167,23
9869,161,20844,12268,612
121504,149,28845,9645,1381
2100,138,23029,8733,720
6166,25,5449,238,62
4942,52,11970,1213,113
231,63,7491,1709,244
5071,424,60020,84162,5514
6129,363,54012,42345,23358
5300,309,45633,45808,1778
81628,88,9843,3696,132
51755,159,20510,3981,8580
6434,208,32121,11353,10175
1855,70,11205,2219,196
8312,83,15393,3046,357
1410,113,12926,6118,210
84309,27,12345,297,54
155030,177,23631,14761,815
7175,89,23758,3241,675
10488,281,10223,39086,254
56475,47,5649,1054,27
55630,95,2407,4442,23
27333,41,8757,782,38
10534,110,10878,5632,363
10963,162,29409,11784,1257
5978,52,9024,1215,111
9662,170,13019,13308,1057
85459,21,2223,159,51
26173,51,8080,1007,268
5430,343,52565,54038,4615
192669,72,15133,2199,357
7846,399,58370,67546,11855
4067,267,29198,34040,1471
5329,113,7583,6237,91
10206,23,4989,232,21
396,98,18781,4332,421
23036,8,719,28,0
10577,14,1907,89,2
4864,12,1397,63,3
56041,104,8668,5152,204
10160,22,5609,205,26
9045,370,48287,48243,20022
6141,335,52889,34587,21358
2091,387,57455,59847,14844
6229,240,41041,15989,12691
6919,141,24941,9486,384
386682,476,19438,109096,3954
79008,53,7179,1198,180
11218,148,30295,8011,2867
3934,63,4670,1922,31
79005,148,20415,10200,678
220004,70,11288,2169,246
9039,40,6623,707,73
51506,48,5055,973,155
10487,47,10140,950,131
10724,34,8975,492,69
6622,388,32930,73894,1184
68194,1,387,0,0
51619,104,9567,5219,137
51255,27,3935,322,29
30011,290,31117,40607,1298
10300,16,1615,100,20
57520,291,21632,41748,447
58525,57,9452,1465,131
6884,39,4795,448,293
6874,67,10482,1755,456
55069,20,1488,189,1
5311,39,6319,722,19
5604,113,19280,5789,539
8837,63,11987,1721,232
7189,550,60810,145696,5279
23193,96,17094,4158,402
11007,148,11835,10586,292
51207,13,2504,72,6
4329,52,2374,952,374
84264,27,1799,301,50
550,64,10319,1882,134
55251,11,1793,49,6
3320,898,90626,386523,16230
91607,14,4723,77,14
56086,62,3733,1858,33
27107,16,4741,110,10
4653,44,6088,882,64
3543,7,499,19,2
55914,97,14699,4404,252
4163,306,34639,45157,1508
5558,36,9467,407,223
7150,277,53293,28347,9879
29843,43,11145,767,136
147923,15,3581,89,16
3339,48,7932,1071,57
