,id,role_0,role_1,role_2
0,1394,0,0,0
1,2778,2256,1072,54
2,6331,904,122,3
3,17999,10,0,0
4,122704,0,0,0
5,54460,0,0,0
6,2597,1,0,0
7,2911,503,26,3
8,4790,4,0,0
9,79155,1758,77,15
10,6146,12264,5510,3388
11,101929876,3326,68,409
12,109,803,171,4
13,27115,10,10,0
14,1390,0,0,0
15,84528,2677,1269,110
16,324,9477,11404,385
17,10982,74,15,4
18,26268,400,7,0
19,6500,13,114,0
20,3609,53,0,34
21,3954,554,10,1
22,152485,0,0,0
23,57504,3168,241,83
24,1537,3671,2122,585
25,55967,22,0,21
26,8452,65,0,33
27,7278,3389,368,59
28,23392,9,0,0
29,5687,10,0,0
30,72462,3,0,0
31,5573,7,0,0
32,2355,1,0,0
33,29922,3162,1475,96
34,154796,5917,2024,134
35,7408,4642,1053,68
36,26039,1765,313,20
37,6597,8762,8728,888
38,5347,9908,8804,373
39,3297,4386,1384,139
40,375056,3,0,0
41,64419,1,0,0
42,155871,147,278,27
43,170575,2,0,0
44,57154,12590,18223,886
45,3309,16677,30014,2238
46,5501,167,134,11
47,3189,33,0,0
48,57162,9,0,0
49,7321,125,0,2
50,6498,20,0,0
51,7329,14315,29832,1066
52,84281,138,12,0
53,4654,91,98,5
54,5879,6533,7801,215
55,23568,1689,20,1
56,4193,390,608,51
57,24149,1013,26,3
58,6631,7937,4407,2202
59,9775,152,165,33
60,8570,39,0,0
61,9757,2237,313,41
62,155908,10481,6136,750
63,5034,215,56,10
64,8559,6293,3394,2127
65,56850,2350,576,25
66,84445,171,370,7
67,253461,11,0,0
68,221,3,0,0
69,84735,2,0,0
70,261726,1599,165,17
71,5537,102,52,2
72,554223,3,0,0
73,79699,7,0,0
74,9869,231,0,6
75,121504,8359,2492,366
76,2100,57,0,0
77,6166,1313,54,13
78,4942,2308,252,15
79,231,1092,487,57
80,5071,14767,20483,1189
81,6129,14050,10903,5978
82,5300,212,293,9
83,81628,14,0,0
84,51755,5097,1258,2201
85,6434,135,0,96
86,1855,77,40,1
87,8312,4899,691,85
88,1410,2316,1579,62
89,84309,51,8,0
90,155030,184,83,3
91,7175,140,28,3
92,10488,19,0,0
93,56475,7,0,0
94,55630,4,0,0
95,27333,1796,202,8
96,10534,32,56,0
97,10963,8271,3177,350
98,5978,161,20,4
99,9662,115,87,12
100,85459,518,40,9
101,26173,15,0,0
102,5430,11073,12230,1005
103,192669,40,0,0
104,7846,539,627,166
105,4067,74,0,0
106,5329,15,0,0
107,10206,1433,57,3
108,396,119,56,0
109,23036,4,0,0
110,10577,704,35,2
111,4864,288,21,0
112,56041,2370,1258,50
113,10160,37,0,0
114,9045,229,327,131
115,6141,11046,7729,4792
116,2091,365,275,158
117,6229,281,37,146
118,6919,82,0,1
119,386682,6130,27712,1111
120,79008,1746,271,26
121,11218,5918,1810,728
122,3934,967,417,4
123,79005,186,139,10
124,220004,3264,511,53
125,9039,18,0,0
126,51506,14,0,0
127,10487,2861,261,36
128,10724,2084,116,16
129,6622,6768,17213,281
130,68194,89,0,0
131,51619,32,0,0
132,51255,1161,74,3
133,30011,238,132,5
134,10300,393,15,2
135,57520,77,0,0
136,58525,117,0,1
137,6884,755,118,89
138,6874,3055,464,109
139,55069,6,0,0
140,5311,141,11,1
141,5604,172,0,4
142,8837,2031,276,40
143,7189,704,1803,81
144,23193,3645,909,84
145,11007,71,77,0
146,51207,106,7,0
147,4329,441,246,86
148,84264,12,5,2
149,550,1695,507,33
150,55251,27,5,0
151,3320,706,2427,224
152,91607,634,10,3
153,56086,757,448,4
154,27107,18,7,0
155,4653,25,24,2
156,3543,21,3,0
157,55914,105,0,7
158,4163,7037,11694,304
159,5558,26,0,0
160,7150,443,328,110
161,29843,105,0,1
162,147923,135,0,1
163,3339,24,0,0
164,351,25364,573976,2911
165,9688,317,0,15
166,55273,2,0,0
167,6477,396,232,9
168,5932,2848,529,52
169,23197,219,244,6
170,79751,18,0,0
171,58,6825,4734,290
172,84962,1627,162,13
173,7453,542,0,2
174,56474,1802,68,5
175,11140,11711,12581,456
176,57684,1251,96,19
177,10801,694,22,8
178,9217,48,0,0
179,283933,512,0,3
180,337967,110,78,10
181,5910,195,25,6
