,id,role_0,role_1,role_2,role_3,role_4,role_5,role_6,role_7,role_8,role_9,role_10
0,1394,6090,198,5,3861,10,148,0,0,0,0,0
1,2778,16828,4757,14,6346,1400,930,144,74,0,3,0
2,6331,5310,1461,8,1916,182,63,0,5,0,0,0
3,17999,1,0,0,10,0,0,0,0,0,0,0
4,122704,10,0,0,0,0,0,0,0,0,0,0
5,54460,7728,5570,33,748,472,101,843,1121,55,34,243
6,2597,5769,30585,102,1441,12552,142,3478,2687,6,60,4
7,2911,14496,841,12,9424,51,486,114,15,34,0,1
8,4790,15737,24030,108,9218,10997,2577,1194,1502,13,99,7
9,79155,14,0,0,57,0,2,1,0,1,0,0
10,6146,12504,22292,254,2375,5601,327,3949,4299,187,326,151
11,101929876,71,8,0,63,0,8,16,0,7,0,0
12,109,4,0,0,0,0,0,0,0,0,0,0
13,27115,7,0,0,0,0,0,0,0,0,0,0
14,1390,11249,4449,20,9461,327,3126,0,31,1,0,0
15,84528,2250,4240,13,767,1442,46,36,158,0,0,0
16,324,7030,17838,44,1020,15028,191,17,490,10,0,0
17,10982,19663,2662,46,5727,100,1124,2336,20,19,8,0
18,26268,15,0,0,0,0,0,0,0,0,0,0
19,6500,89,0,0,57,0,3,9,0,2,0,0
20,3609,8803,30081,70,2336,25149,180,550,5878,22,20,1
21,3954,11,0,0,111,0,0,1,0,0,0,0
22,152485,5218,229,8,2168,0,65,187,6,52,0,5
23,57504,26,0,0,0,0,0,3,0,0,5,0
24,1537,39,0,0,4,0,2,7,0,0,0,0
25,55967,18,0,0,0,0,1,0,0,0,0,0
26,8452,3744,58933,64,1719,217892,278,300,10068,4,17,0
27,7278,15295,13558,83,4065,939,341,71,129,11,4,0
28,23392,6958,11658,31,873,3227,70,2,182,0,0,0
29,5687,144,93,1,46,0,5,21,0,0,0,0
30,72462,13992,4628,14,2869,316,3759,13,95,23,0,0
31,5573,25246,13363,74,21172,1459,1724,851,110,2,4,0
32,2355,26,0,0,0,0,2,0,0,0,0,0
33,29922,47,0,0,0,0,0,0,0,0,0,0
34,154796,9068,11078,10,12595,2896,218,9,167,0,0,0
35,7408,82,41,0,66,0,0,4,0,0,0,0
36,26039,26505,6859,48,38828,436,1762,485,53,30,3,0
37,6597,11797,19307,37,7407,10081,462,342,943,17,9,0
38,5347,201,0,0,21,0,4,6,0,0,0,0
39,3297,142,193,1,134,0,1,5,0,0,0,0
40,375056,29,0,0,0,0,0,0,0,0,0,0
41,64419,31097,158,10,587673,0,3189,1082,0,5,0,0
42,155871,17935,20684,168,6679,13275,941,746,1044,37,11,0
43,170575,15,6,0,119,0,1,0,0,0,0,0
44,57154,12877,24952,18,11161,21096,3104,120,1169,0,7,0
45,3309,414,1818,9,846,0,13,149,0,1,0,0
46,5501,310,1275,6,864,0,3,33,0,2,0,0
47,3189,11491,10244,88,11966,1000,1137,370,334,9,66,2
48,57162,61,0,0,31,0,1,1,0,0,0,0
49,7321,193,391,1,601,0,2,17,0,0,0,0
50,6498,80,85,1,188,0,2,13,0,0,0,0
51,7329,454,1443,5,853,0,24,66,0,0,0,0
52,84281,187,255,0,28,4,0,1,0,0,0,0
53,4654,12666,8699,10,16007,1497,697,298,233,0,2,0
54,5879,6668,11707,16,1101,10367,80,12,281,0,0,0
55,23568,26,0,0,58,0,0,0,0,0,0,0
56,4193,16215,33530,29,5474,31447,525,209,1758,1,37,0
57,24149,33,14,0,224,0,1,0,0,0,0,0
58,6631,266,920,5,729,0,0,141,0,0,0,0
59,9775,14967,28183,113,4882,24317,271,643,6836,9,6,3
60,8570,236,0,0,376,0,2,15,0,0,0,0
61,9757,73,66,0,215,0,1,3,0,0,0,0
62,155908,14096,18943,309,2205,7166,206,539,1046,19,54,0
63,5034,13236,16424,83,12546,2723,559,173,285,4,0,0
64,8559,241,39,0,174,0,0,137,0,0,0,0
65,56850,10883,4060,93,5681,628,480,5,34,1,4,0
66,84445,4097,11392,174,398,10884,11,307,342,5,16,0
67,253461,88,64,2,139,0,3,1,0,0,0,0
68,221,50,0,0,0,0,0,0,0,0,0,0
69,84735,5,11,0,534,0,3,0,0,0,0,0
70,261726,24889,3424,47,26346,147,1731,979,26,2,4,0
71,5537,7780,3677,83,2254,310,103,719,84,19,14,0
72,554223,7,9,0,527,0,3,1,0,0,0,0
73,79699,39,5,0,73,0,2,1,0,0,0,0
74,9869,165,209,0,367,0,3,12,0,0,0,0
75,121504,20521,16768,112,17768,3275,1231,1575,649,37,45,8
76,2100,292,290,3,435,0,5,32,0,1,0,0
77,6166,54,0,0,0,0,2,0,0,0,0,0
78,4942,7532,2898,61,647,206,40,2681,87,22,21,1
79,231,1196,1793,17,206,540,35,141,69,3,1,0
80,5071,680,2539,7,1189,0,9,131,0,2,0,0
81,6129,603,741,3,634,0,9,460,77,1,22,9
82,5300,417,547,3,936,0,10,42,0,0,0,0
83,81628,12702,5683,31,4845,1237,183,1,44,0,0,0
84,51755,257,52,0,209,0,0,154,0,0,0,0
85,6434,28529,14770,180,16652,2859,5534,2864,2734,164,268,117
86,1855,11481,4558,16,7416,558,455,12,56,0,0,0
87,8312,10229,6877,22,4641,795,254,1036,195,7,21,2
88,1410,128,61,0,618,0,7,6,0,0,0,0
89,84309,103,15,0,969,0,4,5,0,0,0,0
90,155030,6243,12198,25,484,5536,35,12,336,0,0,0
91,7175,298,184,0,490,0,13,20,0,0,0,0
92,10488,440,6093,0,21,12324,3,0,97,0,0,0
93,56475,517,1485,19,220,148,1,0,3,0,0,0
94,55630,24,0,0,0,0,0,0,0,0,0,0
95,27333,65,0,0,0,0,3,0,0,0,0,0
96,10534,199,237,1,197,0,9,4,0,0,0,0
97,10963,11464,8747,26,7011,3421,563,300,317,2,13,0
98,5978,4881,5632,22,2283,350,238,1,40,0,0,0
99,9662,8627,6856,51,4315,3985,128,44,315,0,7,0
100,85459,6817,886,33,3575,27,222,54,25,24,5,0
101,26173,85,0,0,41,0,4,3,0,0,0,0
102,5430,659,2823,19,921,0,14,158,137,1,4,0
103,192669,179,32,0,310,0,2,14,0,0,0,0
104,7846,683,2163,6,1115,0,17,361,202,4,13,7
105,4067,2973,14365,4,1988,10189,49,30,417,0,0,0
106,5329,2296,2950,14,174,1975,5,1,25,0,0,0
107,10206,48,0,0,186,0,1,1,0,0,0,0
108,396,12640,13164,37,5500,1843,328,78,237,3,3,0
109,23036,3851,247,1,4334,3,92,0,0,0,0,0
110,10577,6045,1280,9,1436,14,372,2,2,0,0,0
111,4864,3591,365,0,2555,7,44,79,5,0,0,0
112,56041,126,51,1,88,0,3,2,0,0,0,0
113,10160,7568,1891,50,7228,39,763,200,10,74,0,0
114,9045,8753,24191,76,1762,13650,99,854,5706,4,224,4
115,6141,683,688,1,795,0,23,508,0,6,0,0
116,2091,776,2293,18,1157,0,15,435,0,1,0,0
117,6229,495,154,0,755,0,15,244,0,2,0,0
118,6919,12526,16928,178,7224,3033,166,1058,237,11,12,1
119,386682,269,1351,8,300,0,0,29,0,0,0,0
120,79008,97,90,1,264,0,2,9,0,0,0,0
121,11218,27962,12414,46,34109,1933,4547,1960,1156,53,146,22
122,3934,2605,2303,8,229,619,2,0,13,0,2,0
123,79005,274,448,4,256,0,4,11,0,0,0,0
124,220004,126,0,0,563,0,5,2,0,0,0,0
125,9039,72,14,0,99,0,1,6,0,0,0,0
126,51506,21533,2059,38,25375,81,1188,605,72,34,13,3
127,10487,2183,4632,10,257,247,19,1100,44,2,2,1
128,10724,6005,6281,19,2840,159,164,1004,28,7,0,0
129,6622,477,1446,2,1116,0,13,41,0,0,0,0
130,68194,5,0,0,0,0,0,0,0,0,0,0
131,51619,146,53,0,17,0,1,0,0,0,0,0
132,51255,37,0,0,34,0,2,0,0,0,0,0
133,30011,402,132,0,392,0,2,30,0,0,0,0
134,10300,20,0,0,0,0,0,0,0,0,0,0
135,57520,4472,11594,17,736,14729,70,15,164,0,0,0
136,58525,156,115,0,311,0,0,4,0,0,0,0
137,6884,25876,2784,18,186456,12,3437,1407,61,65,40,61
138,6874,10558,5800,24,1833,398,265,381,188,3,51,19
139,55069,5472,363,1,1827,15,188,0,0,0,0,0
140,5311,5748,3327,5,446,214,48,1,8,0,0,0
141,5604,302,0,0,15,0,4,0,0,0,0,0
142,8837,24394,6230,42,31368,385,2505,324,140,4,11,8
143,7189,1114,7221,32,1598,0,21,218,253,3,2,0
144,23193,287,78,1,229,0,9,8,0,0,0,0
145,11007,5450,5669,68,919,3405,117,46,130,0,4,0
146,51207,39,14,1,213,0,2,0,0,0,0,0
147,4329,37,0,0,37,0,0,12,0,0,0,0
148,84264,24,0,0,13,0,1,0,0,0,0,0
149,550,134,55,0,115,0,4,2,0,0,0,0
150,55251,37,3,0,2,0,3,0,0,0,0,0
151,3320,7442,49294,18,3971,127133,112,1276,4753,4,48,6
152,91607,61,0,0,223,0,0,1,0,0,0,0
153,56086,4154,2403,11,1256,478,131,131,21,0,0,0
154,27107,2400,1660,25,799,14,69,0,2,0,0,0
155,4653,4078,2839,6,1100,221,32,11,19,0,0,0
