,respiratory system disease,integumentary system disease,immune system disease,gastrointestinal system disease,musculoskeletal system disease,acquired metabolic disease,urinary system disease,cardiovascular system disease,nervous system disease,cancer,multiple
3295,0,0,0,0,0,0,0,0,1,0,0
5189,0,0,0,0,0,0,0,0,1,0,0
5190,0,0,0,0,0,0,0,0,0,0,0
5192,0,0,0,0,0,0,0,0,0,0,0
5193,0,0,0,0,0,0,0,0,0,0,0
5194,0,0,0,0,0,0,0,0,0,0,0
5195,0,0,0,0,0,0,0,0,0,1,0
55670,0,0,0,0,0,0,0,0,0,0,0
5824,0,0,0,0,0,0,0,0,0,0,0
5825,0,0,0,0,0,0,0,0,0,0,0
5828,0,0,0,0,0,0,0,0,0,0,0
5830,0,0,0,0,0,0,0,0,0,0,0
8504,0,0,0,0,0,0,0,0,0,0,0
8799,0,0,0,0,0,0,0,0,0,0,0
9409,0,0,0,0,0,0,0,0,0,0,0
100271719,0,1,0,0,0,0,0,0,0,0,0
10318,0,0,0,0,0,0,0,0,0,0,1
10498,0,1,0,0,0,0,0,0,0,0,0
10547,0,1,0,0,0,0,0,0,0,0,0
10758,0,1,0,0,0,0,0,0,0,0,0
10866,0,1,0,0,0,0,0,0,0,0,0
117289,0,0,0,0,0,0,0,0,0,0,1
125893,0,1,0,0,0,0,0,0,0,0,0
1356,0,0,0,0,0,0,0,0,0,0,1
1401,0,0,0,0,0,0,0,0,0,0,1
140454,0,1,0,0,0,0,0,0,0,0,0
1437,0,0,0,0,0,0,0,0,0,0,1
149233,0,0,0,0,0,0,0,0,0,0,1
163702,0,1,0,0,0,0,0,0,0,0,0
23586,0,1,0,0,0,0,0,0,0,0,0
2524,0,1,0,0,0,0,0,0,0,0,0
2706,0,0,0,0,0,0,0,0,0,0,1
285626,0,0,0,0,0,0,0,0,0,0,1
29785,0,1,0,0,0,0,0,0,0,0,0
3107,0,0,0,0,0,0,0,0,0,0,1
338442,0,0,0,0,0,0,0,0,0,0,1
348,0,0,0,0,0,0,0,0,0,0,1
353143,0,1,0,0,0,0,0,0,0,0,0
353144,0,1,0,0,0,0,0,0,0,0,0
3553,0,0,0,0,0,0,0,0,0,0,1
3565,0,0,0,0,0,0,0,0,0,0,1
3569,0,0,0,0,0,0,0,0,0,0,1
3593,0,0,0,0,0,0,0,0,0,0,1
3596,0,0,0,0,0,0,0,0,0,0,1
359825,0,1,0,0,0,0,0,0,0,0,0
400957,0,1,0,0,0,0,0,0,0,0,0
4288,0,0,0,0,0,0,0,0,0,0,1
4792,0,0,0,0,0,0,0,0,0,0,1
4843,0,0,0,0,0,0,0,0,0,0,1
503613,0,1,0,0,0,0,0,0,0,0,0
5111,0,0,0,0,0,0,0,0,0,0,1
51561,0,0,0,0,0,0,0,0,0,0,1
51752,0,0,0,0,0,0,0,0,0,0,1
5271,0,1,0,0,0,0,0,0,0,0,0
54620,0,1,0,0,0,0,0,0,0,0,0
5468,0,0,0,0,0,0,0,0,0,0,1
55350,0,1,0,0,0,0,0,0,0,0,0
55770,0,1,0,0,0,0,0,0,0,0,0
55905,0,1,0,0,0,0,0,0,0,0,0
57178,0,0,0,0,0,0,0,0,0,0,1
5966,0,0,0,0,0,0,0,0,0,0,1
5972,0,0,0,0,0,0,0,0,0,0,1
5980,0,1,0,0,0,0,0,0,0,0,0
6278,0,1,0,0,0,0,0,0,0,0,0
63869,0,1,0,0,0,0,0,0,0,0,0
63870,0,1,0,0,0,0,0,0,0,0,0
64135,0,0,0,0,0,0,0,0,0,0,1
643749,0,0,0,0,0,0,0,0,0,0,1
64478,0,0,0,0,0,0,0,0,0,0,1
65245,0,1,0,0,0,0,0,0,0,0,0
6648,0,0,0,0,0,0,0,0,0,0,1
6773,0,1,0,0,0,0,0,0,0,0,0
6774,0,0,0,0,0,0,0,0,0,0,1
7039,0,0,0,0,0,0,0,0,0,0,1
7124,0,0,0,0,0,0,0,0,0,0,1
7128,0,0,0,0,0,0,0,0,0,0,1
7157,0,0,0,0,0,0,0,0,0,0,1
7297,0,0,0,0,0,0,0,0,0,0,1
7422,0,0,0,0,0,0,0,0,0,0,1
7889,0,1,0,0,0,0,0,0,0,0,0
79092,0,1,0,0,0,0,0,0,0,0,0
81890,0,1,0,0,0,0,0,0,0,0,0
831,0,1,0,0,0,0,0,0,0,0,0
84648,0,1,0,0,0,0,0,0,0,0,0
847,0,0,0,0,0,0,0,0,0,0,1
85463,0,1,0,0,0,0,0,0,0,0,0
864,0,0,0,0,0,0,0,0,0,0,1
8651,0,0,0,0,0,0,0,0,0,0,1
8875,0,1,0,0,0,0,0,0,0,0,0
8876,0,0,0,0,0,0,0,0,0,0,1
90134,0,1,0,0,0,0,0,0,0,0,0
9232,0,0,0,0,0,0,0,0,0,0,1
9692,0,1,0,0,0,0,0,0,0,0,0
9825,0,1,0,0,0,0,0,0,0,0,0
9844,0,0,0,0,0,0,0,0,0,0,1
1277,0,0,0,0,0,0,0,0,0,0,1
1282,0,0,0,0,0,0,0,0,0,0,1
1284,0,0,0,0,0,0,0,0,0,0,1
2,0,0,0,0,0,0,0,0,0,0,1
213,0,0,0,0,0,0,0,0,0,0,1
2152,0,0,0,0,0,0,0,0,0,0,1
2247,0,0,0,0,0,0,0,0,0,0,1
2262,0,0,0,0,0,0,0,0,0,0,1
2981,0,0,0,0,0,0,1,0,0,0,0
3123,0,0,0,0,0,0,0,0,0,0,1
3291,0,0,0,0,0,0,0,0,0,0,1
3558,0,0,0,0,0,0,0,0,0,0,1
462,0,0,0,0,0,0,1,0,0,0,0
4690,0,0,0,0,0,0,1,0,0,0,0
5054,0,0,0,0,0,0,0,0,0,0,1
7018,0,0,0,0,0,0,0,0,0,0,1
7040,0,0,0,0,0,0,0,0,0,0,1
7827,0,0,0,0,0,0,1,0,0,0,0
8440,0,0,0,0,0,0,1,0,0,0,0
914,0,0,0,0,0,0,0,0,0,0,1
221692,0,0,0,0,0,0,0,0,0,0,1
23063,0,0,0,0,0,0,0,0,1,0,0
23245,0,0,0,0,0,0,0,0,1,0,0
338342,0,0,0,0,0,0,0,0,1,0,0
4035,0,0,0,0,0,0,0,0,0,0,1
4209,0,0,0,0,0,0,0,0,1,0,0
6863,0,0,0,0,0,0,0,0,0,0,1
79054,0,0,0,0,0,0,0,0,1,0,0
796,0,0,0,0,0,0,0,0,0,0,1
79783,0,0,0,0,0,0,0,0,0,0,1
9457,0,0,0,0,0,0,0,0,1,0,0
9910,0,0,0,0,0,0,0,0,1,0,0
10036,0,0,0,1,0,0,0,0,0,0,0
2189,0,0,0,0,0,0,0,0,0,0,1
2937,0,0,0,0,0,0,0,0,0,0,1
3301,0,0,0,1,0,0,0,0,0,0,0
51182,0,0,0,1,0,0,0,0,0,0,0
54541,0,0,0,0,0,0,0,0,0,0,1
56603,0,0,0,0,0,0,0,0,0,0,1
5743,0,0,0,0,0,0,0,0,0,0,1
6283,0,0,0,1,0,0,0,0,0,0,0
672,0,0,0,0,0,0,0,0,0,0,1
