id,role_0,role_1,role_2,role_3,role_4
1394,12,1523,63,3,0
2778,96,12741,4351,209,0
6331,31,4384,448,17,0
17999,10,808,45,0,0
122704,93,8555,1055,3223,0
54460,101,9829,1786,3264,0
2597,302,57730,39200,6251,0
2911,25,3374,264,36,0
4790,275,42213,34501,3174,0
79155,29,10736,322,84,0
6146,264,47178,21256,13460,0
101929876,66,14549,303,1842,0
109,33,1857,518,10,0
27115,21,2873,206,4,0
1390,47,7533,988,93,0
84528,98,8076,4341,412,0
324,299,36412,43087,1464,0
10982,37,7921,602,64,0
26268,15,5250,79,26,0
6500,249,37715,28862,2014,0
3609,463,65182,88046,18907,0
3954,14,4589,82,9,0
152485,17,2882,80,56,0
57504,63,11056,1537,416,0
1537,144,12473,8076,2220,0
55967,86,4931,2024,1631,0
8452,1226,103036,719716,31209,0
7278,76,17432,2482,368,0
23392,137,20548,8791,525,0
5687,175,29061,12609,2616,0
72462,44,8421,756,190,0
5573,121,23318,6887,373,0
2355,66,6852,2025,120,0
29922,114,12598,5998,443,0
154796,131,23515,7999,516,0
7408,95,18116,4179,286,0
26039,58,8544,1534,119,0
6597,267,37652,32212,3299,0
5347,266,33636,33869,1376,0
3297,114,18048,5905,536,0
375056,36,5508,603,27,0
64419,6,3855,13,2,0
155871,312,41812,45213,3303,0
170575,5,692,10,0,0
57154,388,51090,71225,3853,0
3309,515,75915,122801,9554,0
5501,308,39658,45243,2035,0
3189,98,29356,3668,1085,0
57162,34,6611,508,53,0
7321,276,29039,36757,1193,0
6498,114,12019,6169,272,0
7329,500,58421,120080,4670,0
84281,9,813,35,1,0
4654,112,18581,5637,579,0
5879,267,27861,34520,991,0
23568,12,5207,64,2,0
4193,468,63641,103901,5377,0
24149,22,5274,221,10,0
6631,245,31875,20050,9840,0
9775,449,58652,76700,23876,0
8570,99,30563,4231,620,0
9757,51,8770,1161,114,0
155908,222,35099,21950,2581,0
5034,146,30087,9556,1029,0
8559,211,27461,13473,8682,0
56850,67,8636,2104,107,0
84445,267,25407,34627,884,0
253461,52,6572,1286,40,0
221,77,8029,2607,319,0
84735,30,3149,397,38,0
261726,42,9285,772,89,0
5537,61,16541,1550,280,0
554223,19,2726,166,5,0
79699,20,6456,167,23,0
9869,161,20844,12268,612,0
121504,149,28845,9645,1381,0
2100,138,23029,8733,720,0
6166,25,5449,238,62,0
4942,52,11970,1213,113,0
231,63,7491,1709,244,0
5071,424,60020,84162,5514,0
6129,363,54012,42345,23358,0
5300,309,45633,45808,1778,0
81628,88,9843,3696,132,0
51755,159,20510,3981,8580,0
6434,208,32121,11353,10175,0
1855,70,11205,2219,196,0
8312,83,15393,3046,357,0
1410,113,12926,6118,210,0
84309,27,12345,297,54,0
155030,177,23631,14761,815,0
7175,89,23758,3241,675,0
10488,281,10223,39086,254,0
56475,47,5649,1054,27,0
55630,95,2407,4442,23,0
27333,41,8757,782,38,0
10534,110,10878,5632,363,0
10963,162,29409,11784,1257,0
5978,52,9024,1215,111,0
9662,170,13019,13308,1057,0
85459,21,2223,159,51,0
26173,51,8080,1007,268,0
5430,343,52565,54038,4615,0
192669,72,15133,2199,357,0
7846,399,58370,67546,11855,0
4067,267,29198,34040,1471,0
5329,113,7583,6237,91,0
10206,23,4989,232,21,0
396,98,18781,4332,421,0
23036,8,719,28,0,0
10577,14,1907,89,2,0
4864,12,1397,63,3,0
56041,104,8668,5152,204,0
10160,22,5609,205,26,0
9045,370,48287,48243,20022,0
6141,335,52889,34587,21358,0
2091,387,57455,59847,14844,0
6229,240,41041,15989,12691,0
6919,141,24941,9486,384,0
386682,476,19438,109096,3954,0
79008,53,7179,1198,180,0
11218,148,30295,8011,2867,0
3934,63,4670,1922,31,0
79005,148,20415,10200,678,0
220004,70,11288,2169,246,0
9039,40,6623,707,73,0
51506,48,5055,973,155,0
10487,47,10140,950,131,0
10724,34,8975,492,69,0
6622,388,32930,73894,1184,0
68194,1,387,0,0,0
51619,104,9567,5219,137,0
51255,27,3935,322,29,0
30011,290,31117,40607,1298,0
