,diseased
3295,1
5189,1
5190,1
5192,1
5193,1
5194,1
5195,1
55670,1
5824,1
5825,1
5828,1
5830,1
8504,1
8799,1
9409,1
100271719,1
10318,1
10498,1
10547,1
10758,1
10866,1
117289,1
125893,1
1356,1
1401,1
140454,1
1437,1
149233,1
163702,1
23586,1
2524,1
2706,1
285626,1
29785,1
3107,1
338442,1
348,1
353143,1
353144,1
3553,1
3565,1
3569,1
3593,1
3596,1
359825,1
400957,1
4288,1
4792,1
4843,1
503613,1
5111,1
51561,1
51752,1
5271,1
54620,1
5468,1
55350,1
55770,1
55905,1
57178,1
5966,1
5972,1
5980,1
6278,1
63869,1
63870,1
64135,1
643749,1
64478,1
65245,1
6648,1
6773,1
6774,1
7039,1
7124,1
7128,1
7157,1
7297,1
7422,1
7889,1
79092,1
81890,1
831,1
84648,1
847,1
85463,1
864,1
8651,1
8875,1
8876,1
90134,1
9232,1
9692,1
9825,1
9844,1
1277,1
1282,1
1284,1
2,1
213,1
2152,1
2247,1
2262,1
2981,1
3123,1
3291,1
3558,1
462,1
4690,1
5054,1
7018,1
7040,1
7827,1
8440,1
914,1
221692,1
23063,1
23245,1
338342,1
4035,1
4209,1
6863,1
79054,1
796,1
79783,1
9457,1
9910,1
10036,1
2189,1
2937,1
3301,1
51182,1
54541,1
56603,1
5743,1
6283,1
672,1
8208,1
9518,1
1012,1
10160,1
10207,1
10257,1
105,1
1080,1
11278,1
1129,1
1138,1
114134,1
114786,1
114788,1
121601,1
1268,1
140683,1
140733,1
143098,1
143379,1
143458,1
143503,1
147685,1
1565,1
1653,1
167465,1
1769,1
1793,1
1813,1
1826,1
1962,1
2120,1
2166,1
2272,1
22925,1
22998,1
23034,1
23214,1
23307,1
23345,1
253782,1
25807,1
259217,1
26230,1
27146,1
2893,1
2898,1
29119,1
29126,1
2915,1
2917,1
29922,1
344805,1
3643,1
3899,1
3983,1
401207,1
4482,1
4646,1
481,1
4852,1
4897,1
4985,1
5087,1
51082,1
51151,1
5137,1
51660,1
5366,1
54927,1
55198,1
55297,1
55690,1
55691,1
55717,1
55742,1
5581,1
5583,1
55930,1
57451,1
5768,1
57733,1
5890,1
64131,1
64866,1
65217,1
6532,1
6555,1
6581,1
7260,1
79632,1
79750,1
79809,1
79875,1
80031,1
80034,1
80095,1
80206,1
8048,1
81035,1
83938,1
8412,1
84247,1
84668,1
84871,1
8569,1
9128,1
91752,1
9271,1
93664,1
9369,1
9465,1
9547,1
9557,1
9748,1
2056,1
2539,1
2729,1
2821,1
2936,1
3043,1
3162,1
3440,1
3704,1
6521,1
6710,1
7167,1
100506023,1
10057,1
10125,1
101927437,1
1021,1
10274,1
10586,1
10628,1
10665,1
10666,1
10678,1
10745,1
10956,1
11102,1
11170,1
122618,1
1235,1
1244,1
130540,1
135,1
1404,1
1490,1
1493,1
150577,1
1509,1
151056,1
156,1
160364,1
1656,1
1687,1
171425,1
1719,1
176,1
177,1
1776,1
1803,1
1827,1
196,1
200734,1
2023,1
2147,1
219790,1
2212,1
221895,1
22806,1
2289,1
23228,1
23534,1
2356,1
23569,1
23643,1
23766,1
240,1
26147,1
2618,1
26191,1
2625,1
2638,1
285704,1
2870,1
2920,1
2974,1
3059,1
306,1
3115,1
3118,1
3236,1
3237,1
3239,1
326,1
3290,1
3394,1
342132,1
3458,1
3486,1
3491,1
3516,1
3557,1
3559,1
356,1
3560,1
3570,1
3572,1
3576,1
3586,1
3606,1
3654,1
3655,1
3663,1
3798,1
3934,1
4082,1
412,1
4204,1
4218,1
4261,1
4282,1
4313,1
4319,1
4321,1
4353,1
4520,1
4524,1
4688,1
471,1
4794,1
4795,1
4982,1
50943,1
5138,1
51744,1
5243,1
53347,1
5341,1
5444,1
5453,1
54826,1
54899,1
55289,1
55755,1
5588,1
55937,1
55971,1
56244,1
5673,1
56901,1
57007,1
5747,1
57705,1
5771,1
57719,1
5788,1
5911,1
597,1
624,1
633,1
6355,1
6366,1
6372,1
639,1
640,1
6441,1
652,1
652968,1
653361,1
654,1
6556,1
6583,1
6611,1
6772,1
6775,1
6821,1
7090,1
7097,1
7112,1
7127,1
7185,1
7189,1
7852,1
79016,1
7917,1
79258,1
79722,1
7980,1
800,1
8013,1
81567,1
81849,1
8200,1
8320,1
84159,1
84162,1
84709,1
84752,1
85313,1
858,1
860,1
8604,1
861,1
8714,1
8740,1
8764,1
8836,1
90355,1
9052,1
9135,1
9145,1
916,1
921,1
9308,1
9355,1
9370,1
940,1
9415,1
9429,1
9474,1
958,1
4049,1
4210,1
4929,1
64127,1
968,1
10533,1
113235,1
142,1
1440,1
183,1
30061,1
3240,1
3481,1
3562,1
374569,1
51312,1
538,1
5617,1
5741,1
57817,1
7298,1
8797,1
10232,1
1956,1
2064,1
2263,1
2778,1
3417,1
3418,1
3845,1
4089,1
5178,1
54894,1
55193,1
5566,1
5567,1
5774,1
58508,1
6092,1
6528,1
8289,1
8314,1
1027,1
1616,1
4221,1
546,1
5744,1
673,1
6751,1
6752,1
6753,1
114609,1
1154,1
1378,1
2213,1
2532,1
256892,1
259197,1
28,1
2993,1
2995,1
3383,1
4055,1
493,1
948,1
1674,1
27232,1
29108,1
4552,1
4868,1
834,1
875,1
10189,1
10197,1
10204,1
1026,1
10280,1
10436,1
10527,1
10574,1
10594,1
10808,1
10946,1
10980,1
10981,1
1192,1
1232,1
1524,1
1647,1
1973,1
1978,1
2208,1
22948,1
23198,1
23411,1
2971,1
3068,1
30835,1
3106,1
329,1
330,1
3313,1
3315,1
3320,1
3326,1
3329,1
335,1
3566,1
3577,1
3608,1
3692,1
3811,1
3837,1
393,1
396,1
397,1
4067,1
4150,1
4153,1
4193,1
4927,1
4953,1
5265,1
5479,1
5685,1
5686,1
5687,1
5692,1
5699,1
5702,1
5705,1
5709,1
5714,1
5719,1
5720,1
5721,1
5727,1
581,1
5901,1
5902,1
6347,1
6348,1
6349,1
6356,1
6387,1
6421,1
6426,1
64411,1
6634,1
6722,1
6880,1
7203,1
7266,1
7307,1
7528,1
80273,1
85363,1
8662,1
8683,1
9230,1
9531,1
9861,1
998,1
100507436,1
101929072,1
118429,1
196527,1
23046,1
3105,1
5734,1
64170,1
7850,1
9755,1
10847,1
10933,1
1387,1
1462,1
1612,1
182,1
2011,1
2019,1
2033,1
2175,1
2195,1
221037,1
2264,1
2309,1
23135,1
23209,1
23220,1
23269,1
23543,1
23619,1
23774,1
259266,1
2620,1
2621,1
26292,1
27255,1
27344,1
284058,1
29072,1
29128,1
2982,1
3008,1
3265,1
3485,1
358,1
3645,1
3691,1
3852,1
3866,1
4602,1
4603,1
4613,1
472,1
4781,1
4851,1
50805,1
51477,1
51514,1
51659,1
5174,1
51742,1
5176,1
5290,1
53335,1
54441,1
54531,1
54756,1
54880,1
55294,1
55534,1
55783,1
5591,1
55914,1
5605,1
5728,1
57419,1
5834,1
595,1
63035,1
64324,1
6484,1
653220,1
6595,1
6605,1
6651,1
6659,1
6664,1
7153,1
7403,1
7994,1
80303,1
81029,1
81831,1
8243,1
8332,1
8823,1
9223,1
93986,1
9454,1
9700,1
9863,1
9874,1
999,1
1761,1
1911,1
2067,1
2072,1
359787,1
4254,1
5460,1
55729,1
6337,1
6515,1
79923,1
928,1
9573,1
102723878,1
154064,1
25824,1
2833,1
3627,1
4283,1
55014,1
64375,1
79465,1
100188784,1
1392,1
23328,1
23476,1
367,1
54503,1
55806,1
6716,1
6832,1
7421,1
7538,1
115650,1
1380,1
23495,1
29851,1
4790,1
4791,1
5580,1
8742,1
930,1
931,1
975,1
987,1
133,1
1675,1
2099,1
3727,1
406892,1
406903,1
4803,1
5443,1
6346,1
6351,1
6352,1
6354,1
7490,1
1636,1
1906,1
196743,1
2153,1
217,1
3360,1
3613,1
3659,1
3674,1
3685,1
3690,1
4018,1
463,1
5144,1
5327,1
5328,1
54498,1
5563,1
6647,1
7291,1
7351,1
79001,1
7941,1
92369,1
9734,1
1909,1
1910,1
2006,1
23414,1
2626,1
2627,1
2697,1
3170,1
3202,1
3213,1
3479,1
362,1
3737,1
3745,1
3778,1
4036,1
4846,1
4878,1
64220,1
6439,1
6440,1
6586,1
7026,1
7055,1
7067,1
7068,1
7080,1
7345,1
7412,1
8817,1
100188812,1
100188813,1
100188839,1
100302512,1
100302561,1
114781,1
192142,1
4211,1
450097,1
5607,1
5789,1
643714,1
10008,1
10021,1
23171,1
23493,1
3752,1
3764,1
54795,1
55800,1
6324,1
6331,1
6336,1
775,1
781,1
783,1
7871,1
1050,1
1806,1
23532,1
2876,1
2922,1
374,1
4118,1
5594,1
5595,1
5888,1
5915,1
596,1
598,1
6778,1
7389,1
7517,1
9582,1
1019,1
1029,1
113878,1
1559,1
238,1
27436,1
28514,1
388585,1
4255,1
441478,1
5970,1
6608,1
6696,1
7052,1
100048912,1
100188791,1
100270642,1
100270643,1
100270644,1
11073,1
11262,1
115761,1
23451,1
23547,1
25797,1
25865,1
25913,1
26034,1
28444,1
29125,1
29949,1
3117,1
3431,1
3500,1
355,1
3662,1
3676,1
400997,1
406935,1
406937,1
406950,1
4988,1
5027,1
51176,1
5423,1
5527,1
55892,1
57476,1
578,1
59,1
5934,1
64506,1
64864,1
7037,1
8101,1
81037,1
817,1
8302,1
841,1
8600,1
8792,1
90427,1
9855,1
100528022,1
1146,1
317761,1
388336,1
3908,1
4642,1
5095,1
54715,1
55748,1
56479,1
57369,1
5801,1
5923,1
6096,1
70,1
776,1
79698,1
9414,1
1234,1
1548,1
1576,1
282617,1
3077,1
4015,1
4017,1
4023,1
949,1
11186,1
1734,1
1958,1
2246,1
22827,1
23741,1
2475,1
2662,1
2719,1
2934,1
2944,1
324,1
4582,1
4771,1
4831,1
5154,1
5241,1
54716,1
55600,1
56034,1
6850,1
7296,1
7515,1
84700,1
8915,1
94274,1
10371,1
128674,1
1848,1
2253,1
2260,1
23767,1
26012,1
3730,1
389549,1
55636,1
60675,1
6663,1
6870,1
81848,1
84634,1
8820,1
8822,1
9394,1
11067,1
1174,1
12,1
2168,1
26471,1
3249,1
4047,1
427,1
440,1
55062,1
6319,1
64838,1
6876,1
79153,1
