id,role_0,role_1
1394,12,0
2778,96,0
6331,31,0
17999,10,0
122704,93,0
54460,101,0
2597,302,0
2911,25,0
4790,275,0
79155,29,0
6146,264,0
101929876,66,0
109,33,0
27115,21,0
1390,47,0
84528,98,0
324,299,0
10982,37,0
26268,15,0
6500,249,0
3609,463,0
3954,14,0
152485,17,0
57504,63,0
1537,144,0
55967,86,0
8452,1226,0
7278,76,0
23392,137,0
5687,175,0
72462,44,0
5573,121,0
2355,66,0
29922,114,0
154796,131,0
7408,95,0
26039,58,0
6597,267,0
5347,266,0
3297,114,0
375056,36,0
64419,6,0
155871,312,0
170575,5,0
57154,388,0
3309,515,0
5501,308,0
3189,98,0
57162,34,0
7321,276,0
6498,114,0
7329,500,0
84281,9,0
4654,112,0
5879,267,0
23568,12,0
4193,468,0
24149,22,0
6631,245,0
9775,449,0
8570,99,0
9757,51,0
155908,222,0
5034,146,0
8559,211,0
56850,67,0
84445,267,0
253461,52,0
221,77,0
84735,30,0
261726,42,0
5537,61,0
554223,19,0
79699,20,0
9869,161,0
121504,149,0
2100,138,0
6166,25,0
4942,52,0
231,63,0
5071,424,0
6129,363,0
5300,309,0
81628,88,0
51755,159,0
6434,208,0
1855,70,0
8312,83,0
1410,113,0
84309,27,0
155030,177,0
7175,89,0
10488,281,0
56475,47,0
55630,95,0
27333,41,0
10534,110,0
10963,162,0
5978,52,0
9662,170,0
85459,21,0
26173,51,0
5430,343,0
192669,72,0
7846,399,0
4067,267,0
5329,113,0
10206,23,0
396,98,0
23036,8,0
10577,14,0
4864,12,0
56041,104,0
10160,22,0
9045,370,0
6141,335,0
2091,387,0
6229,240,0
6919,141,0
386682,476,0
79008,53,0
11218,148,0
3934,63,0
79005,148,0
220004,70,0
9039,40,0
51506,48,0
10487,47,0
10724,34,0
6622,388,0
68194,1,0
51619,104,0
51255,27,0
30011,290,0
10300,16,0
57520,291,0
58525,57,0
6884,39,0
6874,67,0
55069,20,0
5311,39,0
5604,113,0
8837,63,0
7189,550,0
23193,96,0
11007,148,0
51207,13,0
4329,52,0
84264,27,0
550,64,0
55251,11,0
3320,898,0
91607,14,0
56086,62,0
27107,16,0
4653,44,0
3543,7,0
55914,97,0
4163,306,0
5558,36,0
7150,277,0
29843,43,0
147923,15,0
3339,48,0
351,2130,0
9688,121,0
55273,6,0
6477,177,0
5932,61,0
23197,190,0
79751,32,0
58,198,0
84962,40,0
7453,64,0
56474,28,0
11140,309,0
57684,32,0
10801,60,0
9217,137,0
283933,3,0
337967,186,0
5910,67,0
57826,10,0
27292,145,0
6132,348,0
4914,1963,0
4292,198,0
5310,39,0
87,162,0
3172,104,0
96764,33,0
4869,744,0
11316,57,0
10420,5,0
56045,10,0
26097,46,0
347733,95,0
23398,166,0
2483,89,0
10313,37,0
6252,12,0
23476,76,0
1024,135,0
5198,75,0
823,110,0
1408,180,0
3312,598,0
55844,57,0
6829,146,0
20174,51,0
10467,45,0
4004,96,0
127933,13,0
55366,199,0
23310,49,0
23138,31,0
23623,82,0
5110,113,0
7077,26,0
11052,218,0
57819,210,0
8353,240,0
6231,151,0
10528,256,0
23521,273,0
132625,11,0
6045,754,0
4841,191,0
79659,22,0
23385,132,0
84898,13,0
867,274,0
4690,267,0
9924,343,0
6147,307,0
4343,1178,0
120892,152,0
43736,1,0
9129,279,0
149041,18,0
7327,56,0
1026,310,0
1,12,0
79850,3,0
6520,60,0
84129,53,0
7284,243,0
139341,15,0
9318,123,0
3646,169,0
6259,78,0
5591,310,0
230967,6,0
4750,25,0
66877,25,0
58509,167,0
200879,49,0
51148,41,0
79172,66,0
64105,54,0
4188,437,0
7866,19,0
29114,35,0
25932,53,0
1717,114,0
293,207,0
57596,59,0
126868,21,0
6144,300,0
6122,257,0
6137,358,0
81876,80,0
1432,327,0
2004,19,0
51073,159,0
51650,90,0
25824,80,0
57532,81,0
7014,265,0
203245,7,0
8503,137,0
54906,56,0
6118,471,0
5981,94,0
5042,126,0
255967,10,0
1739,94,0
9229,33,0
84140,137,0
164127,45,0
5564,181,0
286480,61,0
10664,53,0
3146,114,0
56254,81,0
51322,39,0
7514,1254,0
4733,49,0
51729,173,0
79228,158,0
79768,38,0
10573,111,0
6183,93,0
8428,82,0
11011,27,0
1738,111,0
2109,25,0
11051,268,0
3066,385,0
7153,164,0
22608,56,0
1660,527,0
388697,87,0
81910,218,0
53339,25,0
28964,78,0
156,101,0
8227,23,0
80321,268,0
23168,40,0
5330,56,0
23336,18,0
1837,38,0
5571,57,0
347688,50,0
6676,24,0
503497,21,0
6390,90,0
5018,64,0
8237,133,0
801,522,0
94180,1,0
5733,115,0
80125,155,0
6160,277,0
6207,350,0
9261,68,0
51465,44,0
10492,459,0
339344,36,0
79980,51,0
6098,9,0
5781,173,0
4223,687,0
8675,18,0
23790,146,0
154810,36,0
6310,301,0
440,82,0
5184,40,0
6195,113,0
10073,30,0
8022,79,0
83543,7,0
27153,13,0
171483,132,0
51019,62,0
200081,139,0
6143,264,0
8886,189,0
9099,169,0
83878,230,0
155945,63,0
7037,107,0
8945,351,0
2175,85,0
26121,281,0
7379,14,0
8600,41,0
6813,29,0
6844,88,0
663,34,0
10613,53,0
4627,341,0
5756,56,0
5216,81,0
54557,182,0
55027,32,0
80279,48,0
23376,26,0
661,36,0
246184,35,0
51434,75,0
1208,3,0
5406,12,0
4691,436,0
7307,348,0
128553,20,0
84248,59,0
579,14,0
7091,32,0
4694,60,0
4710,79,0
2296,47,0
57459,95,0
57418,144,0
55294,180,0
29079,368,0
975,217,0
6155,231,0
4141,84,0
7030,52,0
7917,300,0
84292,195,0
64949,117,0
55720,118,0
2118,21,0
4811,26,0
60490,20,0
705,178,0
8548,107,0
79843,62,0
5350,35,0
203562,132,0
5469,122,0
10014,368,0
99100,81,0
9886,7,0
68734,17,0
988,326,0
138046,45,0
1993,22,0
3881,375,0
5694,93,0
10055,66,0
7533,341,0
5062,152,0
79902,58,0
9972,121,0
9948,99,0
8761,142,0
1875,17,0
10672,57,0
7046,319,0
56455,67,0
140710,35,0
132141,16,0
2052,29,0
1457,613,0
10772,149,0
81833,60,0
5337,52,0
64375,25,0
131,24,0
224,106,0
9136,34,0
55272,37,0
286753,58,0
25945,41,0
56288,84,0
3183,384,0
9863,27,0
84630,9,0
4695,110,0
4707,58,0
26227,126,0
2885,1079,0
8451,381,0
9169,34,0
6602,205,0
64599,48,0
6772,223,0
7852,49,0
10236,273,0
1398,377,0
166,299,0
54915,62,0
221150,39,0
64210,193,0
64428,8,0
50875,89,0
85464,25,0
54487,62,0
9987,128,0
57082,40,0
5478,114,0
79800,5,0
1994,1864,0
6175,344,0
51362,177,0
9444,67,0
8939,65,0
2593,12,0
10667,75,0
170954,105,0
8894,74,0
9493,100,0
2130,696,0
2185,90,0
84527,7,0
386680,137,0
84996,14,0
337879,70,0
64326,79,0
8454,761,0
23405,221,0
4839,141,0
6193,282,0
282322,4,0
6462,63,0
63893,77,0
2542196,1,0
6634,221,0
74764,7,0
3799,128,0
6733,458,0
8926,35,0
55064,3,0
2802,40,0
282323,6,0
5577,69,0
151194,25,0
3313,264,0
83660,30,0
23543,108,0
6311,62,0
595,110,0
5000,45,0
10450,178,0
3550,195,0
23345,174,0
6134,446,0
1677,14,0
4082,45,0
10399,284,0
920,123,0
2624,63,0
161882,10,0
4240,6,0
3693,67,0
85451,295,0
54940,28,0
2335,790,0
6218,174,0
23243,99,0
8897,14,0
3727,54,0
4779,27,0
226,139,0
10551,60,0
80012,30,0
51400,92,0
1936,164,0
51265,32,0
26088,64,0
56970,30,0
389856,3,0
55832,698,0
1832,112,0
5079,54,0
639,27,0
861,100,0
84705,22,0
26003,143,0
6117,492,0
5557,37,0
10449,55,0
6342,42,0
22974,45,0
3551,222,0
23081,10,0
3065,609,0
64112,26,0
84217,52,0
7112,119,0
1105,32,0
220134,51,0
3796,71,0
10266,10,0
10268,17,0
80067,7,0
8450,382,0
16319,6,0
284119,79,0
64757,15,0
84084,3,0
10140,47,0
26229,28,0
9554,75,0
10875,11,0
10007,44,0
1891,75,0
56922,22,0
5549,17,0
80746,26,0
27000,20,0
7535,69,0
10598,167,0
10575,188,0
5272,37,0
10980,319,0
6320,35,0
4928,92,0
57062,130,0
11103,139,0
2689,3,0
23173,16,0
2308,74,0
3219,81,0
11340,103,0
116071,29,0
375,97,0
55738,45,0
5985,86,0
627,20,0
4951,6,0
157506,10,0
57665,10,0
286075,61,0
64969,178,0
27373,37,0
3190,365,0
55504,13,0
84894,21,0
128308,101,0
740,110,0
3691,83,0
118460,54,0
51079,94,0
2273,42,0
9659,102,0
4809,343,0
9410,202,0
8834,25,0
89885,91,0
11035,113,0
2074,55,0
56292,37,0
1785,137,0
26413,4,0
8462,20,0
9883,71,0
8449,183,0
30846,24,0
7412,444,0
16,55,0
22806,161,0
84619,69,0
8339,244,0
10902,46,0
9400,52,0
9401,22,0
55147,42,0
23513,60,0
64225,22,0
7086,152,0
5358,56,0
26240,48,0
116541,85,0
79446,31,0
84518,17,0
6235,155,0
57410,36,0
144108,12,0
2258,8,0
3945,155,0
1655,447,0
9416,205,0
79590,117,0
54148,112,0
51375,18,0
8354,65,0
8361,104,0
23607,116,0
2932,360,0
9627,29,0
1004,6,0
28513,1,0
11228,52,0
5108,269,0
695,121,0
498,213,0
9968,92,0
9412,106,0
8481,272,0
9135,81,0
175,11,0
3043,40,0
11346,171,0
474168,1,0
7976,6,0
10189,250,0
2072,103,0
6950,289,0
6184,262,0
6176,251,0
355,119,0
27159,21,0
54820,58,0
11461,181,0
9330,61,0
57614,9,0
8453,507,0
4925,25,0
10250,277,0
57727,45,0
865,43,0
9139,36,0
10152,182,0
170394,4,0
9491,50,0
84708,495,0
10921,301,0
10197,193,0
112399,42,0
468,87,0
22144,68,0
7267,30,0
1203,49,0
292,333,0
8775,56,0
359845,5,0
84988,45,0
51776,50,0
27023,133,0
55052,101,0
6181,191,0
6224,259,0
7277,215,0
9070,94,0
5936,155,0
83939,111,0
9343,292,0
94104,139,0
8021,82,0
10097,159,0
55197,44,0
8087,168,0
55833,25,0
6777,80,0
79892,40,0
51379,18,0
81704,39,0
27254,3,0
3868,99,0
3889,39,0
10884,106,0
84311,109,0
249,7,0
51474,202,0
525,97,0
3329,377,0
6613,258,0
84842,14,0
7314,256,0
29966,80,0
170082,116,0
10870,10,0
79465,9,0
1031,48,0
51129,13,0
57379,64,0
5223,54,0
71,185,0
93661,2,0
20403,21,0
1622,25,0
10970,83,0
7430,174,0
57716,9,0
3032,103,0
79180,32,0
202051,31,0
386675,290,0
10716,4,0
9641,390,0
1287,35,0
22918,26,0
3915,35,0
3912,39,0
6262,31,0
5500,253,0
580,280,0
4436,130,0
2617,97,0
7511,71,0
4172,128,0
7415,608,0
25839,27,0
5152,56,0
8270,62,0
27339,272,0
84687,56,0
5499,354,0
7525,154,0
51134,22,0
90525,2,0
